id,user,likes,dislikes,followers
1,lmalletratt0,712,3282,17985
2,skilmurray1,1036,2766,19548
3,vhowgego2,585,949,17556
5,htacker4,1195,3410,17296
6,bhutchence5,651,2805,19427
8,pcucinotta7,748,1707,16507
10,mduerden9,1166,2594,13720
11,bdurstona,523,1514,16002
12,acalcottb,1904,3313,16048
13,hfenlonc,2061,2384,10184
14,phigbind,1003,3099,10386
15,dlabese,546,2317,19184
16,gpettettf,1725,3063,18436
17,dgifkinsg,1402,2993,12834
18,rrosewarneh,1968,3302,19817
19,dmayoi,797,1694,12374
23,zfurseym,2024,2247,15264
27,jlysterq,881,2708,15652
30,kdalgarnot,1348,2475,12480
31,mmaxweellu,2236,2924,16326
32,nthurlbeckv,1749,2588,15710
34,nlearnedx,2204,2418,16522
39,jdeackes12,988,2947,14934
45,jdressell18,708,2512,16057
47,srowett1a,958,2529,11223
49,mboycott1c,1020,1239,18425
53,jsaing1g,1021,3198,11815
55,ctabour1i,599,2651,10459
56,mtithecott1j,1278,2274,11213
57,mchastaing1k,1000,3103,11991
58,kmeineken1l,1421,3074,13066
62,akemson1p,806,1561,11269
64,snoller1r,2664,2804,12852
65,cfriday1s,837,3114,17365
66,eantusch1t,1168,2472,18942
67,chintzer1u,2843,3376,11641
68,svasin1v,1632,1996,19426
69,gletts1w,1902,3421,14411
74,bmarcus21,1561,2961,11246
75,agehringer22,2224,2960,11372
76,mgerriet23,2399,2718,13412
77,mlovatt24,1408,2925,18228
78,pboyack25,2071,2780,11250
79,kklemencic26,570,2269,19468
80,mvossgen27,2149,3062,13936
83,wjeavon2a,1610,2633,18985
84,skingston2b,2977,3363,10354
86,choggin2d,1099,1646,16689
87,dkeilty2e,1391,2790,10531
95,tquartermaine2m,905,2213,11694
97,gmacsharry2o,734,1828,15961
98,cdarkott2p,1532,2053,12486
99,apetrecz2q,1364,1394,14604
100,bgreser2r,884,1018,10549
